_id,ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,cik,Formatted Date,ticker/date,merged_data
66207532148fecfa8a159f77,CLSK,CleanSpark Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/e76a9728-80d9-11ea-9ab3-00000000092a.png,https://cleanspark.com/,A,High,BB,Medium,BB,Medium,570,326,310,1206,A,High,827876,10/06/2022,CLSK10/06/2022,[]
66207532148fecfa8a159f78,CLSD,Clearside Biomedical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/11294928-80d4-11ea-bfe2-00000000092a.png,http://clearsidebio.com/,B,Medium,B,Medium,B,Medium,215,230,200,645,B,Medium,1539029,07/26/2022,CLSD07/26/2022,[]
66207532148fecfa8a159f79,HA,Hawaiian Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,https://static.finnhub.io/logo/e1f8d338-80e0-11ea-9ce9-00000000092a.png,https://www.hawaiianairlines.com/,B,Medium,BB,Medium,B,Medium,200,321,200,721,B,Medium,1172222,04/17/2022,HA04/17/2022,[]
66207532148fecfa8a159f7a,GVP,GSE Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/57b65608-80df-11ea-bafd-00000000092a.png,http://www.gses.com/,A,High,BB,Medium,B,Medium,505,307,245,1057,BBB,High,944480,04/17/2022,GVP04/17/2022,[]
66207532148fecfa8a159f7b,GWRS,Global Water Resources Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,https://static.finnhub.io/logo/073b07d78f30190099a57fb66df825b0afbbccb6bb3d3b3389564acaabce4942.png,https://www.gwresources.com,BB,Medium,B,Medium,B,Medium,367,297,235,899,BB,Medium,1434728,04/17/2022,GWRS04/17/2022,[]
66207532148fecfa8a159f7c,HAAC,Health Assurance Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,,https://static.finnhub.io/logo/10782d05345d090968318541e01749311cc3c39a659e56b85eb2b4b525417568.png,https://www.healthassuranceacqcorp.com/,B,Medium,B,Medium,BB,Medium,200,258,300,758,BB,Medium,1824013,10/06/2022,HAAC10/06/2022,[]
66207532148fecfa8a159f7d,HAFC,Hanmi Financial Corp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/a38560a59c08d9820f0441540b932c2852bdac825c5ec9809f6272a278da20d4.png,https://investors.hanmi.com/,B,Medium,B,Medium,B,Medium,250,207,233,690,B,Medium,1109242,04/17/2022,HAFC04/17/2022,[]
66207532148fecfa8a159f7e,CLST,Catalyst Bancorp Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,,,B,Medium,BB,Medium,B,Medium,260,350,267,877,BB,Medium,1849867,11/06/2022,CLST11/06/2022,[]
66207532148fecfa8a159f7f,CLWT,Euro Tech Holdings Company Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Trading Companies and Distributors,,,B,Medium,B,Medium,B,Medium,230,201,210,641,B,Medium,1026662,04/17/2022,CLWT04/17/2022,[]
66207532148fecfa8a159f80,CLXT,Calyxt Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/97c944fe-80db-11ea-b039-00000000092a.png,http://www.calyxt.com/,A,High,BB,Medium,BB,Medium,535,322,325,1182,BBB,High,1705843,10/06/2022,CLXT10/06/2022,[]
66207532148fecfa8a159f81,CLVS,Clovis Oncology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/4a95bb1a-80cb-11ea-a08d-00000000092a.png,https://clovisoncology.com/,B,Medium,B,Medium,BB,Medium,225,212,300,737,B,Medium,1466301,04/16/2022,CLVS04/16/2022,[]
66207532148fecfa8a159f82,CLVR,Clever Leaves Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,,,B,Medium,B,Medium,B,Medium,225,243,205,673,B,Medium,1819615,10/06/2022,CLVR10/06/2022,[]
66207532148fecfa8a159f83,HAPP,Happiness Development Group Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Consumer products,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/HAPP.svg,http://www.happ.org.cn/,B,Medium,B,Medium,BB,Medium,225,207,300,732,B,Medium,1751876,10/06/2022,HAPP10/06/2022,[]
66207532148fecfa8a159f84,HBCP,Home Bancorp Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/3a00ecdbf3696314778776f1cf99feac118b8f15cae98dc6bd3c65e519783a19.png,https://www.home24bank.com/,B,Medium,B,Medium,B,Medium,230,202,200,632,B,Medium,1436425,04/17/2022,HBCP04/17/2022,[]
66207532148fecfa8a159f85,HBIO,Harvard Bioscience Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/2afc8d68-80e0-11ea-a78b-00000000092a.png,https://www.harvardbioscience.com/,B,Medium,B,Medium,BB,Medium,250,221,300,771,BB,Medium,1123494,04/17/2022,HBIO04/17/2022,[]
66207532148fecfa8a159f86,HBNC,Horizon Bancorp Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/b81a60c122a2a1d66ce8a8259aa0c3035ddeeab3ba5202e8ece90978b4b25260.png,https://www.horizonbank.com/,B,Medium,BB,Medium,B,Medium,255,321,233,809,BB,Medium,706129,04/17/2022,HBNC04/17/2022,[]
66207532148fecfa8a159f87,HBT,HBT Financial Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/ce6355c1d526b568214a46222e9a9152cbca3d0ff2a56c6abd8e43a7e9099103.png,https://ir.hbtfinancial.com/investor-relations,B,Medium,B,Medium,BB,Medium,245,275,300,820,BB,Medium,775215,10/06/2022,HBT10/06/2022,[]
66207532148fecfa8a159f88,HCAT,Health Catalyst Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/3674581a-80da-11ea-8625-00000000092a.png,https://www.healthcatalyst.com/,A,High,BB,Medium,BB,Medium,545,324,320,1189,BBB,High,1636422,10/06/2022,HCAT10/06/2022,[]
66207532148fecfa8a159f89,HCAR,Healthcare Services Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,,https://static.finnhub.io/logo/5de446295c78d793f321802ddf19b35eb0b0dcad6fd702aea8f76cdb18ba2bea.png,https://www.healthcarespac.com/,B,Medium,B,Medium,BB,Medium,245,205,300,750,BB,Medium,1824846,10/06/2022,HCAR10/06/2022,[]
66207532148fecfa8a159f8a,CMBM,Cambium Networks Corp,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CMBM.svg,,A,High,BB,Medium,BB,Medium,505,337,300,1142,BBB,High,1738177,10/06/2022,CMBM10/06/2022,[]
66207532148fecfa8a159f8b,HARP,Harpoon Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/d8161c70-81d3-11ea-bb1a-00000000092a.png,https://www.harpoontx.com/,BBB,High,BB,Medium,BB,Medium,485,300,310,1095,BBB,High,1708493,10/06/2022,HARP10/06/2022,[]
66207532148fecfa8a159f8c,HAYN,Haynes International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Metals and Mining,https://static.finnhub.io/logo/99f0a598-80e0-11ea-b586-00000000092a.png,https://www.haynesintl.com/,A,High,BB,Medium,BB,Medium,500,301,300,1101,BBB,High,858655,04/17/2022,HAYN04/17/2022,[]
66207532148fecfa8a159f8d,CMCO,Columbus McKinnon Corp,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,https://static.finnhub.io/logo/18ae4a40-80e0-11ea-a0be-00000000092a.png,https://www.columbusmckinnon.com/,B,Medium,BB,Medium,B,Medium,200,323,240,763,BB,Medium,1005229,04/16/2022,CMCO04/16/2022,[]
66207532148fecfa8a159f8e,PNBK,Patriot National Bancorp Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/2d926042-80e1-11ea-bae6-00000000092a.png,https://bankpatriot.com/,B,Medium,BB,Medium,B,Medium,205,302,210,717,B,Medium,1098146,04/18/2022,PNBK04/18/2022,[]
66207532148fecfa8a159f8f,EVK,Ever-Glory International Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Textiles Apparel and Luxury Goods,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EVK.svg,http://www.everglorygroup.com,B,Medium,B,Medium,B,Medium,200,211,210,621,B,Medium,943184,04/17/2022,EVK04/17/2022,[]
66207532148fecfa8a159f90,HCDI,Harbor Custom Development Inc,USD,NASDAQ NMS - GLOBAL MARKET,Consumer products,https://static.finnhub.io/logo/5411ca1c162326159abc51913794bd21176437876133e6cc2c36fcccd2df0e57.png,https://harborcustomhomes.com/,B,Medium,B,Medium,B,Medium,222,221,208,651,B,Medium,1784567,10/06/2022,HCDI10/06/2022,[]
66207532148fecfa8a159f91,POAI,Predictive Oncology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/ac0ee7f0-80d2-11ea-bd34-00000000092a.png,https://predictive-oncology.com/,B,Medium,B,Medium,B,Medium,278,297,220,795,BB,Medium,1446159,10/06/2022,POAI10/06/2022,[]
