ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,cik,Formatted Date,ticker/date,_id,Adj Close,Close,High,Low,Open,Volume
QRVO,Qorvo Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/6008ddde-80d1-11ea-8e0e-00000000092a.png,https://www.qorvo.com/,A,High,BB,Medium,BB,Medium,535,310,305,1150,BBB,High,1604778,04/19/2022,QRVO04/19/2022,662183b3f6fcf517c9210856,117.33999633789062,117.33999633789062,117.66000366210938,115.16000366210938,115.43000030517578,740100.0
PTC,PTC Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/29d81df0-80e1-11ea-8920-00000000092a.png,https://www.ptc.com/,A,High,BB,Medium,BB,Medium,550,302,308,1160,BBB,High,857005,04/19/2022,PTC04/19/2022,662183b3f6fcf517c9210565,99.91999816894533,99.91999816894533,100.77999877929688,98.81999969482422,99.37999725341795,478700.0
PYPL,PayPal Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/58e310c0-80d2-11ea-8993-00000000092a.png,https://www.paypal.com/,BB,Medium,B,Medium,B,Medium,370,244,285,899,BB,Medium,1633917,04/18/2022,PYPL04/18/2022,662183b3f6fcf517c920f2c6,100.58000183105467,100.58000183105467,103.0,99.13500213623048,102.0500030517578,15342400.0
REGN,Regeneron Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/94aceb0a-80e0-11ea-a230-00000000092a.png,https://www.regeneron.com/,A,High,BB,Medium,BB,Medium,505,327,305,1137,BBB,High,872589,04/19/2022,REGN04/19/2022,662183b3f6fcf517c921112c,716.219970703125,716.219970703125,725.8099975585938,710.5999755859375,724.2000122070312,468000.0
SNPS,Synopsys Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/b5dff9e4-80e0-11ea-b347-00000000092a.png,https://www.synopsys.com/,A,High,BB,Medium,BB,Medium,525,316,315,1156,BBB,High,883241,04/19/2022,SNPS04/19/2022,662183b3f6fcf517c9213282,306.3299865722656,306.3299865722656,307.19000244140625,294.739990234375,294.739990234375,679600.0
STX,Seagate Technology Holdings PLC,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/1b9ae09b2197a137d5e26ef7606d068678109eab18fefac2f4994c3ab827a080.png,https://investors.seagate.com/overview/default.aspx,A,High,BB,Medium,BB,Medium,540,355,300,1195,BBB,High,1137789,04/19/2022,STX04/19/2022,662183b3f6fcf517c9211fe1,84.12999725341797,84.12999725341797,84.44000244140625,81.27999877929688,81.51000213623047,1865400.0
TER,Teradyne Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/8211e574-80ec-11ea-b01d-00000000092a.png,https://www.teradyne.com/,A,High,BB,Medium,BB,Medium,507,328,315,1150,BBB,High,97210,04/19/2022,TER04/19/2022,662183b3f6fcf517c9213d4b,112.61000061035156,112.61000061035156,112.97000122070312,107.30999755859376,108.62000274658205,1620700.0
SWKS,Skyworks Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/6d9737aa218175cf0ecab9fbfde6531a45cb826eab7877356403e5b905bcca2f.png,https://www.skyworksinc.com/,A,High,BB,Medium,B,Medium,515,303,270,1088,BBB,High,4127,04/19/2022,SWKS04/19/2022,662183b3f6fcf517c92124c5,116.05653381347656,122.0,122.1999969482422,118.16000366210938,119.48999786376952,1564300.0
TRMB,Trimble Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/f89b3dba-80e0-11ea-a642-00000000092a.png,https://www.trimble.com/,A,High,BBB,High,BB,Medium,550,415,315,1280,A,High,864749,04/19/2022,TRMB04/19/2022,662183b3f6fcf517c9214718,69.30999755859375,69.30999755859375,69.38999938964844,66.9000015258789,66.93000030517578,529600.0
TROW,T Rowe Price Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/f20081c2-80e0-11ea-aa51-00000000092a.png,https://www.troweprice.com,A,High,BB,Medium,BB,Medium,510,325,310,1145,BBB,High,1113169,04/19/2022,TROW04/19/2022,662183b3f6fcf517c9213572,132.90150451660156,145.1199951171875,145.30999755859375,139.5800018310547,139.5800018310547,1012900.0
TTWO,Take-Two Interactive Software Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/c1e64458-80e0-11ea-8873-00000000092a.png,https://www.take2games.com/,B,Medium,BB,Medium,BB,Medium,225,307,310,842,BB,Medium,946581,04/19/2022,TTWO04/19/2022,662183b3f6fcf517c921366e,140.3699951171875,140.3699951171875,140.69000244140625,134.49000549316406,134.5399932861328,2485900.0
TSLA,Tesla Inc,USD,NASDAQ NMS - GLOBAL MARKET,Automobiles,https://static.finnhub.io/logo/2dd96524-80c9-11ea-aaac-00000000092a.png,https://www.tesla.com/,A,High,CCC,Low,B,Medium,555,160,278,993,BBB,High,1318605,04/19/2022,TSLA04/19/2022,662183b3f6fcf517c9213e45,342.7166748046875,342.7166748046875,344.9800109863281,331.77667236328125,335.0199890136719,49847700.0
TXN,Texas Instruments Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/8e047d7e-80ec-11ea-a11f-00000000092a.png,https://www.ti.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,BBB,High,97476,04/19/2022,TXN04/19/2022,662183b3f6fcf517c9213f41,179.05999755859375,179.05999755859375,179.33999633789062,175.22999572753906,175.41000366210938,4671900.0
TMUS,T-Mobile US Inc,USD,NASDAQ NMS - GLOBAL MARKET,Telecommunication,https://static.finnhub.io/logo/4ffaa8b8-80ec-11ea-94ca-00000000092a.png,https://www.t-mobile.com/,BB,Medium,BB,Medium,B,Medium,342,331,230,903,BBB,High,1283699,04/19/2022,TMUS04/19/2022,662183b3f6fcf517c9213484,131.73777770996094,132.83999633789062,133.22000122070312,129.44000244140625,129.64999389648438,3707000.0
UAL,United Airlines Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,https://static.finnhub.io/logo/b3f34b67dcba1725d92ac006206475d24142031e7f30415f77010a101e9fae1b.png,https://ir.united.com/,B,Medium,B,Medium,B,Medium,205,203,221,629,B,Medium,100517,04/19/2022,UAL04/19/2022,662183b3f6fcf517c9214fec,45.95000076293945,45.95000076293945,46.13999938964844,44.47999954223633,44.52000045776367,13667400.0
VRSK,Verisk Analytics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Professional Services,https://static.finnhub.io/logo/fe905336-80fe-11ea-adc8-00000000092a.png,https://www.verisk.com,AA,Excellent,BB,Medium,BB,Medium,615,366,300,1281,A,High,1442145,04/19/2022,VRSK04/19/2022,662183b3f6fcf517c92158bf,215.3300018310547,215.3300018310547,215.77999877929688,211.19000244140625,211.2100067138672,1040900.0
ULTA,Ulta Beauty Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static.finnhub.io/logo/d10866ba-80e0-11ea-9adf-00000000092a.png,https://www.ulta.com/,B,Medium,B,Medium,B,Medium,205,242,200,647,B,Medium,1403568,04/19/2022,ULTA04/19/2022,662183b3f6fcf517c9214df3,428.3699951171875,428.3699951171875,431.05999755859375,414.2000122070313,415.2000122070313,906800.0
