_id,ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,cik,Formatted Date,ticker/date,merged_data
662183c596f3d99ad1a24552,MPWR,Monolithic Power Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/3ec1921c-80e1-11ea-b9d8-00000000092a.png,https://www.monolithicpower.com/,BB,Medium,B,Medium,B,Medium,330,287,235,852,BB,Medium,1280452,04/18/2022,MPWR04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920ca90'), 'ticker': 'MPWR', 'Adj Close': 419.2718200683594, 'Close': 425.9200134277344, 'High': 429.4500122070313, 'Low': 407.7200012207031, 'Open': 407.7200012207031, 'Volume': 441500.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'MPWR04/18/2022'}"
662183c596f3d99ad1a24553,MSFT,Microsoft Corp,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/25e313016e9fac0f4b78bbd7e3afded45a8136b17f450c262aea14beed438191.png,https://www.microsoft.com/en-us,AA,Excellent,BBB,High,BB,Medium,715,443,375,1533,A,High,789019,04/27/2022,MSFT04/27/2022,"{'_id': ObjectId('662183b2f6fcf517c920c3ba'), 'ticker': 'MSFT', 'Adj Close': 283.2200012207031, 'Close': 283.2200012207031, 'High': 290.9700012207031, 'Low': 279.1600036621094, 'Open': 282.1000061035156, 'Volume': 63477700.0, 'Formatted Date': '04/27/2022', 'ticker/date': 'MSFT04/27/2022'}"
662183c596f3d99ad1a24554,MU,Micron Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/33e8930c-80ec-11ea-a30a-00000000092a.png,https://www.micron.com/,A,High,BB,Medium,BB,Medium,530,330,300,1160,BBB,High,723125,04/18/2022,MU04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920c2b8'), 'ticker': 'MU', 'Adj Close': 70.14643096923828, 'Close': 71.1500015258789, 'High': 72.0999984741211, 'Low': 70.05000305175781, 'Open': 70.25, 'Volume': 17476700.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'MU04/18/2022'}"
662183c596f3d99ad1a24555,NDAQ,Nasdaq Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NDAQ_8589934167.png,https://www.nasdaq.com/,A,High,BB,Medium,BB,Medium,505,310,300,1115,BBB,High,1120193,04/18/2022,NDAQ04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920d171'), 'ticker': 'NDAQ', 'Adj Close': 57.6792221069336, 'Close': 59.4466667175293, 'High': 59.61333465576172, 'Low': 58.883331298828125, 'Open': 59.176666259765625, 'Volume': 1360200.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'NDAQ04/18/2022'}"
662183c596f3d99ad1a24557,NTRS,Northern Trust Corp,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/729a6714ac01ab49a6f558cdeaf2d29037d313f87e6acd4af638a8152a23b9fc.png,https://www.northerntrust.com/united-states/,B,Medium,B,Medium,B,Medium,250,226,225,701,B,Medium,73124,04/18/2022,NTRS04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920dc39'), 'ticker': 'NTRS', 'Adj Close': 103.0026626586914, 'Close': 110.4000015258789, 'High': 111.52999877929688, 'Low': 109.66999816894533, 'Open': 110.52999877929688, 'Volume': 1022300.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'NTRS04/18/2022'}"
662183c596f3d99ad1a24559,NVDA,NVIDIA Corp,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NVDA.png,https://www.nvidia.com/,BB,Medium,BB,Medium,B,Medium,323,301,275,899,BB,Medium,1045810,04/18/2022,NVDA04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920e120'), 'ticker': 'NVDA', 'Adj Close': 217.8300018310547, 'Close': 217.8300018310547, 'High': 220.8800048828125, 'Low': 210.7899932861328, 'Open': 212.0, 'Volume': 52570100.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'NVDA04/18/2022'}"
662183c596f3d99ad1a2455b,NWSA,News Corp,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/38632848-80ce-11ea-a34f-00000000092a.png,https://newscorp.com/,A,High,BB,Medium,BB,Medium,509,300,300,1109,BBB,High,1564708,04/18/2022,NWSA04/18/2022,"{'_id': ObjectId('662183b2f6fcf517c920d559'), 'ticker': 'NWSA', 'Adj Close': 21.18000030517578, 'Close': 21.18000030517578, 'High': 21.34000015258789, 'Low': 20.959999084472656, 'Open': 21.14999961853028, 'Volume': 1769700.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'NWSA04/18/2022'}"
662183c596f3d99ad1a2455c,ODFL,Old Dominion Freight Line Inc,USD,NASDAQ NMS - GLOBAL MARKET,Road and Rail,https://static.finnhub.io/logo/8b7ba59a51614579f97c95184c2a54ab36d44842d9bf5350e077217523059382.png,https://www.odfl.com/,BBB,High,BBB,High,B,Medium,467,423,280,1170,BBB,High,878927,04/18/2022,ODFL04/18/2022,"{'_id': ObjectId('662183b3f6fcf517c920e607'), 'ticker': 'ODFL', 'Adj Close': 132.69500732421875, 'Close': 132.69500732421875, 'High': 133.69500732421875, 'Low': 130.64999389648438, 'Open': 131.6750030517578, 'Volume': 1881400.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'ODFL04/18/2022'}"
662183c596f3d99ad1a2455d,PCAR,Paccar Inc,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,https://static4.finnhub.io/file/publicdatany2/stock_logo/PCAR_4295907525.jpg,https://www.paccar.com/,A,High,BB,Medium,BB,Medium,568,343,305,1216,A,High,75362,04/18/2022,PCAR04/18/2022,"{'_id': ObjectId('662183b3f6fcf517c920ebe9'), 'ticker': 'PCAR', 'Adj Close': 51.19948196411133, 'Close': 55.893333435058594, 'High': 56.25333404541016, 'Low': 55.426666259765625, 'Open': 55.46666717529297, 'Volume': 2039850.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'PCAR04/18/2022'}"
662183c596f3d99ad1a2455e,NXPI,NXP Semiconductors NV,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/86154d10-80c9-11ea-9926-00000000092a.png,https://www.nxp.com/,A,High,BB,Medium,BB,Medium,505,329,305,1139,BBB,High,1413447,04/18/2022,NXPI04/18/2022,"{'_id': ObjectId('662183b3f6fcf517c920e316'), 'ticker': 'NXPI', 'Adj Close': 166.3865203857422, 'Close': 173.25, 'High': 176.72999572753906, 'Low': 169.14999389648438, 'Open': 169.6999969482422, 'Volume': 2138300.0, 'Formatted Date': '04/18/2022', 'ticker/date': 'NXPI04/18/2022'}"
